Lap,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Kimi Raikkonen,Daniel Ricciardo,Max Verstappen,Sergio Perez,Esteban Ocon,Lance Stroll,Sergey Sirotkin,Nico Hulkenberg,Carlos Sainz Jnr,Pierre Gasly,Brendon Hartley,Romain Grosjean,Kevin Magnussen,Fernando Alonso,Stoffel Vandoorne,Marcus Ericsson,Charles Leclerc
39,83.743,82.769,80.516,81.461,81.723,80.641,,84.646,85.477,84.598,86.244,,83.475,84.33,84.878,84.362,,84.558,84.293,84.747
40,81.909,81.58,80.386,81.222,81.027,81.025,,84.602,84.785,84.504,86.423,,83.89,84.492,84.84,84.539,,84.654,84.514,85.269
41,81.858,81.74,80.263,81.744,80.735,80.851,,84.55,84.469,84.855,84.158,,83.922,84.604,84.777,85.009,,84.832,84.597,85.124
42,81.794,82.2,80.26,81.234,80.888,80.768,,84.828,84.341,84.574,83.878,,84.069,84.599,84.659,85.06,,84.918,84.688,84.714
43,81.986,82.108,80.112,81.373,81.199,80.863,,84.684,84.845,84.383,85.273,,84.014,84.785,85.443,88.053,,85.161,84.555,84.662
44,81.83,81.921,80.138,80.948,81.011,80.386,,84.982,84.833,84.297,84.634,,83.421,85.392,89.904,101.53,,84.113,84.085,84.591
45,82.418,82.191,80.338,81.824,82.444,80.572,,83.801,84.396,87.061,84.812,,84.742,83.405,99.695,81.874,,84.033,84.545,84.312
46,82.03,82.25,80.403,80.915,81.79,81.023,,85.649,85.266,84.313,83.87,,83.893,84.355,81.37,82.77,,84.412,84.463,85.003
47,87.13,82.103,83.939,81.773,81.035,81.391,,84.051,84.15,84.025,84.162,,83.698,84.483,81.948,83.505,,84.44,84.478,84.692
48,100.476,90.063,97.226,80.85,80.766,84.301,,83.842,84.13,85.666,84.079,,83.098,84.45,82.672,85.849,,84.612,84.23,84.791
49,80.728,102.285,79.522,81.107,80.913,98.058,,84.5,85.598,86.849,85.987,,83.63,84.205,84.217,82.848,,84.462,84.414,84.204
50,81.426,81.749,80.343,81.357,81.085,80.173,,84.451,84.314,84.781,83.886,,83.553,84.39,86.075,84.914,,84.419,84.177,84.758
51,80.816,81.678,80.409,81.155,80.723,80.69,,84.884,85.903,86.34,83.457,,85.826,84.407,85.146,84.095,,84.457,84.35,84.437
52,80.79,81.886,80.967,81.126,81.442,80.434,,85.161,85.425,84.252,83.787,,84.083,85.419,84.355,86.32,,84.266,84.786,84.291
53,81.194,81.794,81.547,81.255,80.873,81.256,,87.029,84.46,84.193,83.581,,83.32,84.39,86.192,83.451,,83.82,85.209,83.864
54,82.295,81.669,80.966,80.905,81.216,81.657,,84.703,84.152,85.773,83.361,,85.232,87.737,84.305,83.973,,85.131,84.466,84.619
55,81.992,82.011,80.78,81.413,81.782,79.738,,84.634,84.328,83.497,83.292,,84.203,84.421,84.205,85.869,,83.821,85.675,83.253
56,82.242,82.803,81.159,81.4,81.445,80.786,,86.172,86.164,83.734,83.239,,84.11,84.694,84.18,84.433,,86.22,84.56,83.063
57,82.962,83.04,79.851,81.358,79.462,79.564,,84.332,84.383,84.332,83.38,,83.97,85.391,84.756,84.883,,83.475,84.501,86.671
58,82.591,83.193,81.573,82.307,80.536,79.747,,84.705,84.813,84.333,83.086,,86.6,84.96,85.035,85.385,,83.549,84.804,82.679
59,83.13,84.052,80.264,82.261,80.78,79.749,,84.93,85.113,84.719,84.813,,84.248,84.39,85.531,85.294,,83.449,85.498,82.923
60,83.09,84.462,80.195,83.7,80.327,79.795,,107.031,107.461,107.915,94.52,,105.68,105.982,113.751,108.182,,102.486,106.43,99.35
61,83.746,91.735,80.787,82.585,80.37,80.099,,100.705,100.656,100.169,111.281,,103.71,103.588,109.556,99.658,,107.251,103.467,108.788
62,113.241,113.517,98.751,106.043,,91.178,,84.04,84.493,83.669,86.204,,84.262,85.399,82.196,83.68,,83.399,84.187,81.733
63,94.778,100.226,109.665,103.641,,111.497,,83.523,83.956,83.827,83.936,,83.515,83.746,82.166,83.984,,82.567,83.194,81.138
64,83,79.331,80.003,81.927,,85.065,,83.358,84.086,84.072,81.616,,83.181,83.454,81.438,84.172,,82.435,83.002,81.25
65,83.185,78.741,79.763,81.039,,79.527,,83.544,83.671,83.242,83.619,,83.509,83.56,82.012,86.501,,82.78,83.364,82.077
66,83.072,80.459,79.835,81.393,,79.186,,83.5,83.204,82.64,80.991,,83.467,83.525,81.613,86.745,,83.054,83.355,80.951
67,82.696,80.062,80.15,80.892,,80.081,,83.433,83.233,82.895,80.637,,83.004,83.523,82.302,84.436,,82.79,83.097,80.537
68,82.77,80.383,80.046,81.671,,79.796,,83.382,83.525,83.209,80.748,,82.756,83.473,85.082,84.005,,85.723,82.823,80.684
69,82.351,81.75,79.978,82.256,,79.983,,83.39,83.745,83.487,81.536,,82.755,83.694,,84.482,,83.036,82.895,81.879
70,82.694,83.257,80.951,81.745,,80.242,,,,,,,,,,,,,,
71,85.728,,82.393,83.221,,81.046,,,,,,,,,,,,,,,
